Referencia;Descripcion;PVP;NETOS;NETOS_GRANDE_CUENTAS;CANTIDAD;PRECIO_ESTANDAR;CONDICIONES_NETO;CONDICION_NETO_GC;PRECIO_GRUPO1;PRECIO_GRUPO3;PRECIO_CECOFERSA
369;Cartel PVC 21x29 Zona video vigilada;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
370;Cartel PVC 40x30 Prohib. Beber y Comer;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0370P;Cartel PVC 21x29 PROHIBIDO BEBER Y COMER;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
371;Cartel PVC 40x30 Peligro Gases Compr.;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0371P;Cartel PVC 21x29 PELIGRO GASES COMPRIMIDOS;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
372;Cartel PVC 40x30 Peligro Andamio Incom;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0372P;Cartel PVC 21x29 PELIGRO ANDAMIAJE INCOMPLETO;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
373;Cartel PVC 40x30 Peligro Escalon;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0373P;Cartel PVC 21x29 PELIGRO CUIDADO CON ESCALON;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
374;Cartel PVC 40x30 Prohibido el Paso;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0374P;Cartel PVC 21x29 PROHIBIDO EL PASO;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
375;Cartel PVC 40x30 Peligro de Incendio;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0375P;Cartel PVC 21x29 PELIGRO DE INCENDIO;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
376;Cartel PVC 40x30 Peligro Zona de Obras;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0376P;Cartel PVC 21x29 PELIGRO ZONA DE OBRAS;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
377;Cartel PVC 40x30 Uso de minusvalidos;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0377P;Cartel PVC 21x29 USO DE MINUSVALIDOS;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
378;Cartel PVC 40x30 Direccion obligatoria derecha;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0378P;Cartel PVC 21x29 DIRECCION OBLIGATORIA DERECHA;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
379;Cartel PVC 40x30 Direccion obligatoria izquierda;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0379P;Cartel PVC 21x29 DIRECCION OBLIGATORIA IZQUIERDA;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
380;Cartel PVC 40x30 Es obligatorio el uso de Mandil;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0380P;Cartel PVC 21x29 OBLIGATORIO EL USO DE MANDIL;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
381;Cartel PVC 40x30 Estrechamiento de calzada;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0381P;Cartel PVC 21x29 ESTRECHAMIENTO CALZADA CENTRAL;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
382;Cartel PVC 40x30 Estrechamiento calzada por la derecha;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0382P;Cartel PVC 21x29 ESTRECHAMIENTO CALZADA POR DCHA;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
383;Cartel PVC 40x30 Estrechamiento calzada por la izq.;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0383P;Cartel PVC 21x29 ESTRECHAMIENTO CALZADA POR IZQ.;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
384;Cartel PVC 40x30 Peligro cable suspendido;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0384P;Cartel PVC 21x29 PELIGRO CABLE SUSPENDIDO;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
385;Cartel PVC 40x30 Caida al mismo nivel;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0385P;Cartel PVC 21x29 CAIDA AL MISMO NIVEL;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
386;Cartel PVC 40x30 Peligro Amianto;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0386P;Cartel PVC 21x29 PELIGRO AMIANTO;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
387;Cartel PVC 40x30 Uso obligatorio de luces de cruce;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0387P;Cartel PVC 21X29 OBLIGATORIO USO DE LUCES DE;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
388;Cartel PVC 40x30 Uso obligatorio de chaleco alta visibilidad;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0388P;Cartel PVC 21x29 OBLIGATORIO EL USO CHALECO ALTA;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
389;Cartel 50x70 cm c/ojales CALLE CORTADA POR OBRAS (o;19,94;;;;9,97;Sin precio neto;Sin precio neto G.C.;9,5712;9,97;9,5712
390;Cartel PVC 50x70 Combinado;10,9;5,5;4,8;50;5,45;Neto: 006 € (a partir de 50 uds.);Neto G.C.: 005 € (a partir de 50 uds.);5,232;5,45;5,232
0390PA;Cartel Poliet. 50x70 PROHIBIDO APARCAR CON HORARIO;14;;;;7;Sin precio neto;Sin precio neto G.C.;6,72;7;6,72
391;Señal PVC suelo plegable;11,9;5,5;5,5;10;5,95;Neto: 006 € (a partir de 10 uds.);Neto G.C.: 006 € (a partir de 10 uds.);5,712;5,95;5,712
0391P;Caballete plegable amarillo señalizacion personalizado;18;;;;9;Sin precio neto;Sin precio neto G.C.;8,64;9;8,64
392;Cartel PVC 40x30 Limite vel. 10;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0392P;Cartel PVC 21x29 VELOCIDAD MAXIMA 10;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
393;Cartel PVC 40x30 Limite vel. 20;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0393P;Cartel PVC 21x29 VELOCIDAD MAXIMA 20;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
394;Cartel PVC 40x30 Limite vel. 30;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0394P;Cartel PVC 21x29 VELOCIDAD MAXIMA 30;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
395;Cartel PVC 40x30 Limite vel. 40;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
0395P;Cartel PVC 21x29 VELOCIDAD MAXIMA 40;3,2;1,2;1,2;1;1,6;Neto: 001 € (a partir de 1 uds.);Neto G.C.: 001 € (a partir de 1 uds.);1,536;1,6;1,536
396;Cartel PVC 21x29 Fotolum. Columna movil extinción;5,2;2,1;2,1;1;2,6;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,496;2,6;2,496
0396A;Cartel PVC 21x30 Fotolum. Carro extintor;5,04;2,1;2,1;1;2,52;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,4192;2,52;2,4192
0396B;Cartel PVC 40x30 Fotolum. Carro extintor;6,2;3,2;3,2;1;3,1;Neto: 003 € (a partir de 1 uds.);Neto G.C.: 003 € (a partir de 1 uds.);2,976;3,1;2,976
397;Cartel PVC 21x29 Fotolum. Sin salida;5,2;2,1;2,1;1;2,6;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,496;2,6;2,496
0397A;Cartel PVC 32x16 Fotolum. Sin Salida;4,5;;;;2,25;Sin precio neto;Sin precio neto G.C.;2,16;2,25;2,16
0397B;Cartel PVC 64x32 Fotolum. Sin Salida;8,96;;;;4,48;Sin precio neto;Sin precio neto G.C.;4,3008;4,48;4,3008
0397C;Cartel PVC 96x48 Fotolum. Sin Salida;17,98;;;;8,99;Sin precio neto;Sin precio neto G.C.;8,6304;8,99;8,6304
398;Cartel PVC 21x29 Fotolum. Flecha;5,2;2,1;2,1;1;2,6;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,496;2,6;2,496
0398DA;Cartel PVC 32x16 Fotolum. Flecha derecha;4,5;;;;2,25;Sin precio neto;Sin precio neto G.C.;2,16;2,25;2,16
0398DB;Cartel PVC 64x32 Fotolum. Flecha derecha;8,96;;;;4,48;Sin precio neto;Sin precio neto G.C.;4,3008;4,48;4,3008
0398DC;Cartel PVC 96x48 Fotolum. Flecha derecha;17,92;;;;8,96;Sin precio neto;Sin precio neto G.C.;8,6016;8,96;8,6016
0398IA;Cartel PVC 32x16 Fotolum. Flecha izquierda;4,5;;;;2,25;Sin precio neto;Sin precio neto G.C.;2,16;2,25;2,16
0398IB;Cartel PVC 64x32 Fotolum. Flecha derecha;8,96;;;;4,48;Sin precio neto;Sin precio neto G.C.;4,3008;4,48;4,3008
0398IC;Cartel PVC 96x48 Fotolum. Flecha derecha;17,92;;;;8,96;Sin precio neto;Sin precio neto G.C.;8,6016;8,96;8,6016
399;Cartel PVC 40x30 Calle cortada por obra;4,96;1,8;1,75;1;2,48;Neto: 002 € (a partir de 1 uds.);Neto G.C.: 002 € (a partir de 1 uds.);2,3808;2,48;2,3808
400;Bolsa negra perforada cubre señales trafico;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
401;Se¤al Bolsa de plastico nº1 DIRECION PROHIB.;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
402;Señal Bolsa de plastico nº 2 STOP;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
403;Señal Bolsa de plastico nº 3 DIR. OBL. DERECHA;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
404;Señal Bolsa de plastico nº 4 PELIGRO INDEF;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
405;Señal Bolsa de plastico nº 5 OBRAS;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
406;Señal Bolsa de plastico nº 6 VEL. 40;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
407;Señal Bolsa de plastico nº 7 VEL. 60;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
408;Señal Bolsa de plastico nº 8 ESTRECH;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
409;Señal Bolsa de plastico nº 9 PROHIB ADELANT;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
410;Señal Bolsa de plastico nº 10 PRIORIDAD;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
411;Señal Bolsa de plastico nº 11 PROHIB. APARCAR;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
412;Señal Bolsa de plastico nº 12 ESCALON LATERAL;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
413;Señal Bolsa de plastico nº 13 SUELO RESVALADIZO;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
414;Señal Bolsa de plastico nº 14 VEL 20;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
415;Señal Bolsa de plastico nº 15 PELIGRO CAMIONES;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
416;Señal Bolsa de plastico nº 16 SALIDA CAMIONES;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
417;Señal Bolsa de plastico nº 17 CALLE CORTADA;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
418;Señal Bolsa de plastico nº 18 VEL 30;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
419;Señal Bolsa de plastico nº 19 DESPRENDIMIENTO;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
420;Señal Bolsa de plastico nº 20 ACERA EN OBRAS;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
421;Señal Bolsa de plastico nº 21 ESTRECH. IZQ.;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
422;Señal Bolsa de plastico nº 22 ESTRECH. DERECHA;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
423;Señal Bolsa de plastico nº 23 VEL 10;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
424;Señal Bolsa de plastico nº 24 VEL. 50;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
425;Señal Bolsa de plastico nº 25 RESALTO;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
426;Señal Bolsa de plastico nº 26 CAMINO CORTADO;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
427;Señal Bolsa de plastico nº 27 DIR. OBLI. IZQ.;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
428;Señal Bolsa de plastico nº 28 CEDA EL PASO;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
429;Señal Bolsa de plastico nº 29 CEDA EL PASO C / TEXTO;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
430;Señal Bolsa de plastico nº 30 CONTROL POLICIAL;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
431;Señal Bolsa de plastico nº 31 TRABAJOS FORESTALES;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
432;Señal Bolsa de plastico nº 32 LUZ OBLIGATORIA;3,4;1;1;25;1,7;Neto: 001 € (a partir de 25 uds.);Neto G.C.: 001 € (a partir de 25 uds.);1,632;1,7;1,632
0450A;Plantilla señalizacion para suelo 50x50 cm;65,5;;;;32,75;Sin precio neto;Sin precio neto G.C.;31,44;32,75;31,44
0450B;Plantilla señalizacion para suelo 100 x 70 cm;95,04;;;;47,52;Sin precio neto;Sin precio neto G.C.;45,6192;47,52;45,6192
0450E;Plantilla 60x60 cm carga coche eléctrico;70,3;;;;35,15;Sin precio neto;Sin precio neto G.C.;33,744;35,15;33,744
561;Bolardo composite cuadrado Abatible 70 cm c/llave;65,5;;;;32,75;Sin precio neto;Sin precio neto G.C.;31,44;32,75;31,44
562;Bolardo Composite Redondo Abatible 70 cm c/ llave;74,5;;;;37,25;Sin precio neto;Sin precio neto G.C.;35,76;37,25;35,76
563;Tensa Cono 9 Mts A/N;69;26;26;10;34,5;Neto: 026 € (a partir de 10 uds.);Neto G.C.: 026 € (a partir de 10 uds.);33,12;34,5;33,12
564;Tensa Cono 9 Mts R/B;69;26;26;10;34,5;Neto: 026 € (a partir de 10 uds.);Neto G.C.: 026 € (a partir de 10 uds.);33,12;34,5;33,12
565;Tensa Cono 3 Mts R/B;32;16;16;10;16;Neto: 016 € (a partir de 10 uds.);Neto G.C.: 016 € (a partir de 10 uds.);15,36;16;15,36
566;Tensa Cono 3 Mts A/N;32;16;16;10;16;Neto: 016 € (a partir de 10 uds.);Neto G.C.: 016 € (a partir de 10 uds.);15,36;16;15,36
568;Hito vertice divergente 1200x1300;787,5;;;;393,75;Sin precio neto;Sin precio neto G.C.;378;393,75;378
569;Bolardo Acero 100 cm x 8 cm diámetro fijo;67,2;;;;33,6;Sin precio neto;Sin precio neto G.C.;32,256;33,6;32,256
0569/PLATO;Bolardo Acero 100 cm x 8 cm diam. c/plato;113,4;;;;56,7;Sin precio neto;Sin precio neto G.C.;54,432;56,7;54,432
0569A;Bolardo Acero 100 cm x 8 cm diámetro extraíble;79,8;;;;39,9;Sin precio neto;Sin precio neto G.C.;38,304;39,9;38,304
0569E;Base-enganche bolardo Acero;118;;;;59;Sin precio neto;Sin precio neto G.C.;56,64;59;56,64
0569LL;Llave para enganche bolardo Acero;12,6;;;;6,3;Sin precio neto;Sin precio neto G.C.;6,048;6,3;6,048
570;LLave para colocacion HIto H75;33,9;;;;16,95;Sin precio neto;Sin precio neto G.C.;16,272;16,95;16,272
571;Hito 75 cm c/base basculante Mod. B Verde;52;;;;26;Sin precio neto;Sin precio neto G.C.;24,96;26;24,96
0571A;Hito 75 cm c/base basculante Mod. B Azul;52;;;;26;Sin precio neto;Sin precio neto G.C.;24,96;26;24,96
574;Hito H-75 Polietileno azul Mod. A;33,9;15,5;14;12;16,95;Neto: 016 € (a partir de 12 uds.);Neto G.C.: 014 € (a partir de 12 uds.);16,272;16,95;16,272
0574P;Hito H-50 Polietileno azul Mod. A;27,5;;;;13,75;Sin precio neto;Sin precio neto G.C.;13,2;13,75;13,2
0575A;Bandera señalizacion Mod. Basic Amarillo;9,8;;;;4,9;Sin precio neto;Sin precio neto G.C.;4,704;4,9;4,704
0575R;Bandera señalizacion Mod. Basic Rojo;9,8;;;;4,9;Sin precio neto;Sin precio neto G.C.;4,704;4,9;4,704
0575V;Bandera señalizacion Mod. Basic Verde;9,8;;;;4,9;Sin precio neto;Sin precio neto G.C.;4,704;4,9;4,704
0575Z;Bandera señalizacion Mod. Basic Azul;9,8;;;;4,9;Sin precio neto;Sin precio neto G.C.;4,704;4,9;4,704
576;Hito H-75 fijo Polietileno verde Mod. A;33,9;15,5;14;12;16,95;Neto: 016 € (a partir de 12 uds.);Neto G.C.: 014 € (a partir de 12 uds.);16,272;16,95;16,272
0576P;Hito H-50 fijo Polietileno verde Mod. A;27,5;;;;13,75;Sin precio neto;Sin precio neto G.C.;13,2;13,75;13,2
0576T;Tornillo con casquillo para H-75;4,3;;;;2,15;Sin precio neto;Sin precio neto G.C.;2,064;2,15;2,064
577;Señal Obra con mango STOP-PASO;9,8;4,5;4,5;50;4,9;Neto: 005 € (a partir de 50 uds.);Neto G.C.: 005 € (a partir de 50 uds.);4,704;4,9;4,704
0577A;Señal Stop/Paso con Mango Reforzada aluminio;18;;;;9;Sin precio neto;Sin precio neto G.C.;8,64;9;8,64
0577B;Señal Obra con mango STOP-PASO 1.5 m;15,5;;;;7,75;Sin precio neto;Sin precio neto G.C.;7,44;7,75;7,44
578;Soporte metálica para señal bolsa;31,5;15,5;14;2;15,75;Neto: 016 € (a partir de 2 uds.);Neto G.C.: 014 € (a partir de 2 uds.);15,12;15,75;15,12
0579A;Pilona extraible PVC-EVA 810 mm Amarilla;92;;;;46;Sin precio neto;Sin precio neto G.C.;44,16;46;44,16
0579B;Sistema extraible para pilona 0579;71,26;;;;35,63;Sin precio neto;Sin precio neto G.C.;34,2048;35,63;34,2048
0579LL;Llave para pilona extraible 0579;16;;;;8;Sin precio neto;Sin precio neto G.C.;7,68;8;7,68
0579N;Pilona Extraíble PVC-EVA 810 mm Negro;92;;;;46;Sin precio neto;Sin precio neto G.C.;44,16;46;44,16
0579R;Pilona extraible PVC-EVA 810 mm Rojo;92;;;;46;Sin precio neto;Sin precio neto G.C.;44,16;46;44,16
0579V;Pilona extraible PVC-EVA 810 mm Verde;92;;;;46;Sin precio neto;Sin precio neto G.C.;44,16;46;44,16
0579Z;Pilona extraible PVC-EVA 810 mm Azul;92;;;;46;Sin precio neto;Sin precio neto G.C.;44,16;46;44,16
0580A;Pilona fija PVC-EVA 810 mm Amarillo con peana;94;;;;47;Sin precio neto;Sin precio neto G.C.;45,12;47;45,12
0580N;Pilona fija PVC-EVA 810 mm Negro con peana;94;;;;47;Sin precio neto;Sin precio neto G.C.;45,12;47;45,12
0580R;Pilona fija PVC-EVA 810 mm Rojo con peana;94;;;;47;Sin precio neto;Sin precio neto G.C.;45,12;47;45,12
0580V;Pilona fija PVC-EVA 810 mm Verde con peana;94;;;;47;Sin precio neto;Sin precio neto G.C.;45,12;47;45,12
0580Z;Pilona fija PVC-EVA 810 mm Azul con peana;94;;;;47;Sin precio neto;Sin precio neto G.C.;45,12;47;45,12
581;Hito 100 cm PVC blando Naranja Mod.J;44,2;;;;22,1;Sin precio neto;Sin precio neto G.C.;21,216;22,1;21,216
0581A;Hito 100 cm PVC blando Azul Mod.J;44,2;;;;22,1;Sin precio neto;Sin precio neto G.C.;21,216;22,1;21,216
0581AM;Hito 100 cm PVC blando Amarillo Mod.J;44,2;;;;22,1;Sin precio neto;Sin precio neto G.C.;21,216;22,1;21,216
0581B;Hito 100 cm PVC blando Blanco Mod.J;44,2;;;;22,1;Sin precio neto;Sin precio neto G.C.;21,216;22,1;21,216
0581NE;Hito 100 cm PVC blando Negro Mod.J;44,2;;;;22,1;Sin precio neto;Sin precio neto G.C.;21,216;22,1;21,216
0581R;Hito 100 cm PVC blando Rojo Mod.J;44,2;;;;22,1;Sin precio neto;Sin precio neto G.C.;21,216;22,1;21,216
0581V;Hito 100 cm PVC blando Verde Mod.J;44,2;;;;22,1;Sin precio neto;Sin precio neto G.C.;21,216;22,1;21,216
582;Hito H-75 flexible E.V.A. verde Mod. C Plus;44,5;17,5;16;12;22,25;Neto: 018 € (a partir de 12 uds.);Neto G.C.: 016 € (a partir de 12 uds.);21,36;22,25;21,36
0582P;Hito H-50 flexible E.V.A. verde Mod. C Plus;32,5;;;;16,25;Sin precio neto;Sin precio neto G.C.;15,6;16,25;15,6
583;Hito H-75 flexible E.V.A. azul Mod. C Plus;44,5;17,5;16;12;22,25;Neto: 018 € (a partir de 12 uds.);Neto G.C.: 016 € (a partir de 12 uds.);21,36;22,25;21,36
0583P;Hito H-50 flexible E.V.A. azul Mod. C Plus;32,5;;;;16,25;Sin precio neto;Sin precio neto G.C.;15,6;16,25;15,6
